source,category,name,stem,extension,relative_path,size_bytes,duration_seconds,tags
400 Sounds Pack,Card and Board,dice_roll_2.wav,dice_roll_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/dice_roll_2.wav,96108,0.545,magic
400 Sounds Pack,Card and Board,dice_roll_3.wav,dice_roll_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/dice_roll_3.wav,135468,0.768,magic
400 Sounds Pack,Card and Board,dice_roll_4.wav,dice_roll_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/dice_roll_4.wav,110892,0.628,magic
400 Sounds Pack,Card and Board,dice_shake_2.wav,dice_shake_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/dice_shake_2.wav,245804,1.393,magic
400 Sounds Pack,Card and Board,dice_shake_3.wav,dice_shake_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/dice_shake_3.wav,166700,0.945,magic
400 Sounds Pack,Card and Board,dice_shake_4.wav,dice_shake_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/dice_shake_4.wav,200748,1.138,magic
400 Sounds Pack,Combat and Gore,bone_snap.wav,bone_snap,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/bone_snap.wav,163884,0.929,death|hit_enemy
400 Sounds Pack,Combat and Gore,crunch.wav,crunch,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/crunch.wav,190508,1.08,death|footstep|hit_enemy
400 Sounds Pack,Combat and Gore,crunch_quick.wav,crunch_quick,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/crunch_quick.wav,61484,0.348,death|footstep|hit_enemy|ui
400 Sounds Pack,Combat and Gore,crunch_splat.wav,crunch_splat,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/crunch_splat.wav,133164,0.755,death|footstep|hit_enemy
400 Sounds Pack,Combat and Gore,crunch_splat_2.wav,crunch_splat_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/crunch_splat_2.wav,106540,0.604,death|footstep|hit_enemy
400 Sounds Pack,Combat and Gore,kick.wav,kick,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/kick.wav,51868,0.294,attack|death|hit_enemy
400 Sounds Pack,Combat and Gore,punch.wav,punch,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/punch.wav,98348,0.557,attack|death|hit_enemy
400 Sounds Pack,Combat and Gore,punch_2.wav,punch_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/punch_2.wav,31756,0.18,attack|death|hit_enemy
400 Sounds Pack,Combat and Gore,punch_3.wav,punch_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/punch_3.wav,70116,0.397,attack|death|hit_enemy
400 Sounds Pack,Combat and Gore,slap.wav,slap,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/slap.wav,120876,0.685,death|hit_enemy
400 Sounds Pack,Combat and Gore,splat_double_quick.wav,splat_double_quick,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/splat_double_quick.wav,84012,0.476,death|hit_enemy|ui
400 Sounds Pack,Combat and Gore,splat_quick.wav,splat_quick,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/splat_quick.wav,57388,0.325,death|hit_enemy|ui
400 Sounds Pack,Combat and Gore,squelching_1.wav,squelching_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/squelching_1.wav,153644,0.871,death|hit_enemy
400 Sounds Pack,Combat and Gore,squelching_2.wav,squelching_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/squelching_2.wav,149548,0.848,death|hit_enemy
400 Sounds Pack,Combat and Gore,squelching_3.wav,squelching_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/squelching_3.wav,81964,0.464,death|hit_enemy
400 Sounds Pack,Combat and Gore,squelching_4.wav,squelching_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/squelching_4.wav,139308,0.789,death|hit_enemy
400 Sounds Pack,Combat and Gore,swipe.wav,swipe,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Combat and Gore/swipe.wav,68708,0.389,attack|death|hit_enemy
400 Sounds Pack,Environment,air_burst.wav,air_burst,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/air_burst.wav,53292,0.302,environment
400 Sounds Pack,Environment,ambient_wind.wav,ambient_wind,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/ambient_wind.wav,1518232,8.607,environment|quest
400 Sounds Pack,Environment,clock_tick_only.wav,clock_tick_only,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/clock_tick_only.wav,165932,0.94,environment
400 Sounds Pack,Environment,clock_ticking.wav,clock_ticking,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/clock_ticking.wav,705644,4.0,environment
400 Sounds Pack,Environment,clock_tock_only.wav,clock_tock_only,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/clock_tock_only.wav,173164,0.981,environment
400 Sounds Pack,Environment,creaky_door_long.wav,creaky_door_long,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/creaky_door_long.wav,700460,3.971,machine
400 Sounds Pack,Environment,creaky_door_short.wav,creaky_door_short,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/creaky_door_short.wav,149036,0.845,machine
400 Sounds Pack,Environment,door_close.wav,door_close,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/door_close.wav,147500,0.836,machine
400 Sounds Pack,Environment,door_knock.wav,door_knock,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/door_knock.wav,184364,1.045,machine
400 Sounds Pack,Environment,door_open.wav,door_open,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/door_open.wav,288812,1.637,machine
400 Sounds Pack,Environment,fire_lighting.wav,fire_lighting,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/fire_lighting.wav,114732,0.65,environment|magic
400 Sounds Pack,Environment,gurgling.wav,gurgling,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/gurgling.wav,380972,2.159,environment
400 Sounds Pack,Environment,ice_in_water.wav,ice_in_water,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/ice_in_water.wav,86060,0.488,environment|footstep|magic
400 Sounds Pack,Environment,lock_lock.wav,lock_lock,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/lock_lock.wav,170028,0.964,environment
400 Sounds Pack,Environment,lock_quick.wav,lock_quick,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/lock_quick.wav,108588,0.615,ui
400 Sounds Pack,Environment,lock_unlock.wav,lock_unlock,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/lock_unlock.wav,143404,0.813,environment
400 Sounds Pack,Environment,water_babbling_loop.wav,water_babbling_loop,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/water_babbling_loop.wav,708652,4.017,environment|footstep
400 Sounds Pack,Environment,water_boiling_loop.wav,water_boiling_loop,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/water_boiling_loop.wav,1765420,10.008,environment|footstep
400 Sounds Pack,Environment,water_dripping.wav,water_dripping,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/water_dripping.wav,3022892,17.136,environment|footstep
400 Sounds Pack,Environment,water_drop_medium.wav,water_drop_medium,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/water_drop_medium.wav,120876,0.685,environment|footstep
400 Sounds Pack,Environment,water_drop_synthetic.wav,water_drop_synthetic,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/water_drop_synthetic.wav,12536,0.071,environment|footstep
400 Sounds Pack,Environment,water_splashing.wav,water_splashing,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/water_splashing.wav,202796,1.149,environment|footstep
400 Sounds Pack,Environment,zipper_down.wav,zipper_down,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/zipper_down.wav,94252,0.534,environment
400 Sounds Pack,Environment,zipper_up.wav,zipper_up,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Environment/zipper_up.wav,61484,0.348,environment
400 Sounds Pack,Footsteps,digital_footstep_grass_1.wav,digital_footstep_grass_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_grass_1.wav,27970,0.317,footstep
400 Sounds Pack,Footsteps,digital_footstep_grass_2.wav,digital_footstep_grass_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_grass_2.wav,26260,0.297,footstep
400 Sounds Pack,Footsteps,digital_footstep_grass_3.wav,digital_footstep_grass_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_grass_3.wav,27272,0.309,footstep
400 Sounds Pack,Footsteps,digital_footstep_grass_4.wav,digital_footstep_grass_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_grass_4.wav,31118,0.352,footstep
400 Sounds Pack,Footsteps,digital_footstep_gravel_1.wav,digital_footstep_gravel_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_gravel_1.wav,27970,0.317,footstep
400 Sounds Pack,Footsteps,digital_footstep_gravel_2.wav,digital_footstep_gravel_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_gravel_2.wav,26260,0.297,footstep
400 Sounds Pack,Footsteps,digital_footstep_gravel_3.wav,digital_footstep_gravel_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_gravel_3.wav,27272,0.309,footstep
400 Sounds Pack,Footsteps,digital_footstep_gravel_4.wav,digital_footstep_gravel_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_gravel_4.wav,31118,0.352,footstep
400 Sounds Pack,Footsteps,digital_footstep_snow_1.wav,digital_footstep_snow_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_snow_1.wav,27970,0.317,footstep
400 Sounds Pack,Footsteps,digital_footstep_snow_2.wav,digital_footstep_snow_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_snow_2.wav,26260,0.297,footstep
400 Sounds Pack,Footsteps,digital_footstep_snow_3.wav,digital_footstep_snow_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_snow_3.wav,27272,0.309,footstep
400 Sounds Pack,Footsteps,digital_footstep_snow_4.wav,digital_footstep_snow_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_snow_4.wav,31118,0.352,footstep
400 Sounds Pack,Footsteps,digital_footstep_wood_1.wav,digital_footstep_wood_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_wood_1.wav,27970,0.317,footstep|shop
400 Sounds Pack,Footsteps,digital_footstep_wood_2.wav,digital_footstep_wood_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_wood_2.wav,26260,0.297,footstep|shop
400 Sounds Pack,Footsteps,digital_footstep_wood_3.wav,digital_footstep_wood_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_wood_3.wav,27272,0.309,footstep|shop
400 Sounds Pack,Footsteps,digital_footstep_wood_4.wav,digital_footstep_wood_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/digital/digital_footstep_wood_4.wav,31118,0.352,footstep|shop
400 Sounds Pack,Footsteps,foley_creak_1.wav,foley_creak_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_creak_1.wav,90156,0.511,footstep
400 Sounds Pack,Footsteps,foley_footstep_carpet_1.wav,foley_footstep_carpet_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_carpet_1.wav,86060,0.488,footstep
400 Sounds Pack,Footsteps,foley_footstep_carpet_2.wav,foley_footstep_carpet_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_carpet_2.wav,108588,0.615,footstep
400 Sounds Pack,Footsteps,foley_footstep_carpet_3.wav,foley_footstep_carpet_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_carpet_3.wav,96300,0.546,footstep
400 Sounds Pack,Footsteps,foley_footstep_carpet_4.wav,foley_footstep_carpet_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_carpet_4.wav,118828,0.673,footstep
400 Sounds Pack,Footsteps,foley_footstep_concrete_1.wav,foley_footstep_concrete_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_concrete_1.wav,50732,0.287,footstep
400 Sounds Pack,Footsteps,foley_footstep_concrete_2.wav,foley_footstep_concrete_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_concrete_2.wav,49708,0.282,footstep
400 Sounds Pack,Footsteps,foley_footstep_concrete_3.wav,foley_footstep_concrete_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_concrete_3.wav,43052,0.244,footstep
400 Sounds Pack,Footsteps,foley_footstep_concrete_4.wav,foley_footstep_concrete_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_concrete_4.wav,46124,0.261,footstep
400 Sounds Pack,Footsteps,foley_footstep_gravel_1.wav,foley_footstep_gravel_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_gravel_1.wav,84524,0.479,footstep
400 Sounds Pack,Footsteps,foley_footstep_gravel_2.wav,foley_footstep_gravel_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_gravel_2.wav,92716,0.525,footstep
400 Sounds Pack,Footsteps,foley_footstep_gravel_3.wav,foley_footstep_gravel_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_gravel_3.wav,60972,0.345,footstep
400 Sounds Pack,Footsteps,foley_footstep_gravel_4.wav,foley_footstep_gravel_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_gravel_4.wav,108076,0.612,footstep
400 Sounds Pack,Footsteps,foley_footstep_vinyl_1.wav,foley_footstep_vinyl_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_vinyl_1.wav,81964,0.464,footstep
400 Sounds Pack,Footsteps,foley_footstep_vinyl_2.wav,foley_footstep_vinyl_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_vinyl_2.wav,65580,0.372,footstep
400 Sounds Pack,Footsteps,foley_footstep_vinyl_3.wav,foley_footstep_vinyl_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_vinyl_3.wav,67628,0.383,footstep
400 Sounds Pack,Footsteps,foley_footstep_vinyl_4.wav,foley_footstep_vinyl_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Footsteps/foley_footstep_vinyl_4.wav,96300,0.546,footstep
400 Sounds Pack,Human,belch_1.wav,belch_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/belch_1.wav,74796,0.424,hit_player
400 Sounds Pack,Human,belch_2.wav,belch_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/belch_2.wav,163884,0.929,hit_player
400 Sounds Pack,Human,belch_3.wav,belch_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/belch_3.wav,57388,0.325,hit_player
400 Sounds Pack,Human,cough_double.wav,cough_double,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/cough_double.wav,213036,1.207,hit_player
400 Sounds Pack,Human,cough_short.wav,cough_short,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/cough_short.wav,159788,0.906,hit_player
400 Sounds Pack,Human,man_0.wav,man_0,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_0.wav,96300,0.546,hit_player
400 Sounds Pack,Human,man_1.wav,man_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_1.wav,71724,0.406,hit_player
400 Sounds Pack,Human,man_10.wav,man_10,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_10.wav,71724,0.406,hit_player
400 Sounds Pack,Human,man_2.wav,man_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_2.wav,65580,0.372,hit_player
400 Sounds Pack,Human,man_3.wav,man_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_3.wav,84012,0.476,hit_player
400 Sounds Pack,Human,man_4.wav,man_4,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_4.wav,102444,0.58,hit_player
400 Sounds Pack,Human,man_5.wav,man_5,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_5.wav,90156,0.511,hit_player
400 Sounds Pack,Human,man_6.wav,man_6,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_6.wav,116780,0.662,hit_player
400 Sounds Pack,Human,man_7.wav,man_7,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_7.wav,86060,0.488,hit_player
400 Sounds Pack,Human,man_8.wav,man_8,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_8.wav,65580,0.372,hit_player
400 Sounds Pack,Human,man_9.wav,man_9,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/man_9.wav,90156,0.511,hit_player
400 Sounds Pack,Human,whistle.wav,whistle,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Human/whistle.wav,319532,1.811,hit_player
400 Sounds Pack,Items,air_pump.wav,air_pump,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/air_pump.wav,91692,0.52,loot|shop
400 Sounds Pack,Items,book_close.wav,book_close,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/book_close.wav,32812,0.186,loot|shop
400 Sounds Pack,Items,book_open.wav,book_open,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/book_open.wav,127020,0.72,loot|shop
400 Sounds Pack,Items,broom_sweep_1.wav,broom_sweep_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/broom_sweep_1.wav,104492,0.592,loot|shop
400 Sounds Pack,Items,broom_sweep_2.wav,broom_sweep_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/broom_sweep_2.wav,130092,0.737,loot|shop
400 Sounds Pack,Items,coin_collect.wav,coin_collect,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/coin_collect.wav,247520,1.403,loot|shop
400 Sounds Pack,Items,coin_jingle_small.wav,coin_jingle_small,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/coin_jingle_small.wav,102444,0.58,loot|shop
400 Sounds Pack,Items,coins_gather_medium.wav,coins_gather_medium,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/coins_gather_medium.wav,155692,0.882,loot|shop
400 Sounds Pack,Items,coins_gather_quick.wav,coins_gather_quick,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/coins_gather_quick.wav,84012,0.476,loot|shop|ui
400 Sounds Pack,Items,coins_gather_small.wav,coins_gather_small,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/coins_gather_small.wav,69676,0.395,loot|shop
400 Sounds Pack,Items,gem_collect.wav,gem_collect,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/gem_collect.wav,297040,1.684,loot|shop
400 Sounds Pack,Items,heart_collect.wav,heart_collect,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/heart_collect.wav,139348,0.79,loot|shop
400 Sounds Pack,Items,item_equip.wav,item_equip,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/item_equip.wav,53292,0.302,loot|shop|ui
400 Sounds Pack,Items,jingle_bells_1.wav,jingle_bells_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/jingle_bells_1.wav,200748,1.138,loot|shop
400 Sounds Pack,Items,jingle_bells_2.wav,jingle_bells_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/jingle_bells_2.wav,139308,0.789,loot|shop
400 Sounds Pack,Items,keys_jingling.wav,keys_jingling,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/keys_jingling.wav,90156,0.511,loot|shop
400 Sounds Pack,Items,map_close.wav,map_close,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/map_close.wav,106540,0.604,loot|shop
400 Sounds Pack,Items,map_open.wav,map_open,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/map_open.wav,106540,0.604,loot|shop
400 Sounds Pack,Items,page_turn.wav,page_turn,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/page_turn.wav,159788,0.906,loot|shop
400 Sounds Pack,Items,pencil_eraser.wav,pencil_eraser,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/pencil_eraser.wav,147596,0.836,loot|shop
400 Sounds Pack,Items,pencil_scribble.wav,pencil_scribble,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/pencil_scribble.wav,415788,2.357,loot|shop
400 Sounds Pack,Items,shovel_dig.wav,shovel_dig,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/shovel_dig.wav,106540,0.604,loot|shop
400 Sounds Pack,Items,tennis_ball_bounce_1.wav,tennis_ball_bounce_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/tennis_ball_bounce_1.wav,54828,0.311,loot|shop
400 Sounds Pack,Items,tennis_ball_bounce_2.wav,tennis_ball_bounce_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Items/tennis_ball_bounce_2.wav,43052,0.244,loot|shop
400 Sounds Pack,Machines,drill_whizz.wav,drill_whizz,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Machines/drill_whizz.wav,352336,1.997,machine
400 Sounds Pack,Machines,hairdryer.wav,hairdryer,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Machines/hairdryer.wav,384044,2.177,machine
400 Sounds Pack,Machines,hydraulic_down.wav,hydraulic_down,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Machines/hydraulic_down.wav,165932,0.94,machine
400 Sounds Pack,Machines,hydraulic_up.wav,hydraulic_up,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Machines/hydraulic_up.wav,198700,1.126,machine
400 Sounds Pack,Machines,industrial_door_close.wav,industrial_door_close,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Machines/industrial_door_close.wav,143404,0.813,machine
400 Sounds Pack,Machines,industrial_door_open.wav,industrial_door_open,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Machines/industrial_door_open.wav,163884,0.929,machine
400 Sounds Pack,Machines,razor_buzz.wav,razor_buzz,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Machines/razor_buzz.wav,249900,1.416,machine
400 Sounds Pack,Match Three,match_synth_1.wav,match_synth_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Match Three/match_synth_1.wav,422476,2.395,match_three
400 Sounds Pack,Match Three,match_synth_10_MAX.wav,match_synth_10_MAX,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Match Three/match_synth_10_MAX.wav,412348,2.337,match_three
400 Sounds Pack,Match Three,match_synth_2.wav,match_synth_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Match Three/match_synth_2.wav,420772,2.385,match_three
400 Sounds Pack,Match Three,match_synth_3.wav,match_synth_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Match Three/match_synth_3.wav,415072,2.353,match_three
